2026-04-06T08:27:51Z	INFO	engine.verify	internal/imageverifier.go:279	cache entry not found	{"policy.name": "verify-local-matrix-images", "policy.namespace": "", "policy.apply": "All", "new.kind": "Deployment", "new.namespace": "stock-trading", "new.name": "user-service", "rule.name": "autogen-verify-local-matrix-signature-and-attestation", "namespace": "", "policy": "verify-local-matrix-images", "ruleName": "autogen-verify-local-matrix-signature-and-attestation", "imageRef": "ttl.sh/stock-trading-matrix-signed-d8c278f95292@sha256:70313bd3b26cfd529d09c245dbc7e1c194a167713d1fb148d038bc9197d184df"}
2026-04-06T08:27:51Z	INFO	engine.verify	internal/imageverifier.go:335	verifying image signatures	{"policy.name": "verify-local-matrix-images", "policy.namespace": "", "policy.apply": "All", "new.kind": "Deployment", "new.namespace": "stock-trading", "new.name": "user-service", "rule.name": "autogen-verify-local-matrix-signature-and-attestation", "image": "ttl.sh/stock-trading-matrix-signed-d8c278f95292@sha256:70313bd3b26cfd529d09c245dbc7e1c194a167713d1fb148d038bc9197d184df", "attestors": 1, "attestations": 1}
2026-04-06T08:27:54Z	INFO	engine.verify	internal/imageverifier.go:517	image attestors verification succeeded	{"policy.name": "verify-local-matrix-images", "policy.namespace": "", "policy.apply": "All", "new.kind": "Deployment", "new.namespace": "stock-trading", "new.name": "user-service", "rule.name": "autogen-verify-local-matrix-signature-and-attestation", "verifiedCount": 1, "requiredCount": 1}
2026-04-06T08:27:54Z	INFO	engine.verify	internal/imageverifier.go:410	attestation {PredicateType: Type:https://slsa.dev/provenance/v0.2 Attestors:[] Conditions:[]}	{"policy.name": "verify-local-matrix-images", "policy.namespace": "", "policy.apply": "All", "new.kind": "Deployment", "new.namespace": "stock-trading", "new.name": "user-service", "rule.name": "autogen-verify-local-matrix-signature-and-attestation"}
2026-04-06T08:27:55Z	INFO	cosign	cosign/cosign.go:271	failed to fetch attestations	{"error": "no matching attestations: error verifying bundle: nil certificate provided"}
2026-04-06T08:27:55Z	ERROR	engine.verify	internal/imageverifier.go:435	failed to fetch attestations	{"policy.name": "verify-local-matrix-images", "policy.namespace": "", "policy.apply": "All", "new.kind": "Deployment", "new.namespace": "stock-trading", "new.name": "user-service", "rule.name": "autogen-verify-local-matrix-signature-and-attestation", "error": "no matching attestations: error verifying bundle: nil certificate provided"}
2026-04-06T08:27:55Z	INFO	webhooks.resource.mutate	utils/block.go:29	blocking admission request	{"gvk": "apps/v1, Kind=Deployment", "gvr": {"group":"apps","version":"v1","resource":"deployments"}, "namespace": "stock-trading", "name": "user-service", "operation": "CREATE", "uid": "dd18ea1e-83b2-474e-b849-2e52e5eb9d2c", "user": {"username":"kubernetes-admin","groups":["kubeadm:cluster-admins","system:authenticated"],"extra":{"authentication.kubernetes.io/credential-id":["X509SHA256=42430ec87ff5a25750ed423970d270a9a1e8bcc53863e4a3899edab8e55d057d"]}}, "roles": [], "clusterroles": ["cluster-admin", "system:basic-user", "system:discovery", "system:public-info-viewer"], "resource.gvk": "apps/v1, Kind=Deployment", "kind": "Deployment", "URLParams": "", "policy": "verify-local-matrix-images"}
2026-04-06T08:27:55Z	ERROR	webhooks.resource.mutate	resource/handlers.go:213	image verification failed	{"gvk": "apps/v1, Kind=Deployment", "gvr": {"group":"apps","version":"v1","resource":"deployments"}, "namespace": "stock-trading", "name": "user-service", "operation": "CREATE", "uid": "dd18ea1e-83b2-474e-b849-2e52e5eb9d2c", "user": {"username":"kubernetes-admin","groups":["kubeadm:cluster-admins","system:authenticated"],"extra":{"authentication.kubernetes.io/credential-id":["X509SHA256=42430ec87ff5a25750ed423970d270a9a1e8bcc53863e4a3899edab8e55d057d"]}}, "roles": [], "clusterroles": ["cluster-admin", "system:basic-user", "system:discovery", "system:public-info-viewer"], "resource.gvk": "apps/v1, Kind=Deployment", "kind": "Deployment", "URLParams": "", "error": "\n\nresource Deployment/stock-trading/user-service was blocked due to the following policies \n\nverify-local-matrix-images:\n  autogen-verify-local-matrix-signature-and-attestation: 'image attestations verification\n    failed, verifiedCount: 0, requiredCount: 1, error: no matching attestations: error\n    verifying bundle: nil certificate provided'\n"}
2026-04-06T08:29:11Z	INFO	setup.cluster-policy	logging/controller.go:68	resource deleted	{"type": "ClusterPolicy", "name": "verify-local-matrix-images"}
2026-04-06T08:30:21Z	INFO	setup.cluster-policy	logging/controller.go:45	resource added	{"type": "ClusterPolicy", "name": "verify-local-matrix-images"}
2026-04-06T08:30:34Z	INFO	engine.verify	internal/imageverifier.go:129	missing image metadata in annotation	{"policy.name": "verify-local-matrix-images", "policy.namespace": "", "policy.apply": "All", "new.kind": "Deployment", "new.namespace": "stock-trading", "new.name": "user-service", "rule.name": "autogen-verify-local-matrix-signature-and-attestation", "key": "kyverno.io/verify-images"}
2026-04-06T08:30:34Z	INFO	engine.verify	internal/imageverifier.go:279	cache entry not found	{"policy.name": "verify-local-matrix-images", "policy.namespace": "", "policy.apply": "All", "new.kind": "Deployment", "new.namespace": "stock-trading", "new.name": "user-service", "rule.name": "autogen-verify-local-matrix-signature-and-attestation", "namespace": "", "policy": "verify-local-matrix-images", "ruleName": "autogen-verify-local-matrix-signature-and-attestation", "imageRef": "ttl.sh/stock-trading-matrix-signed-6da392d7586f@sha256:8404ccf820241d03fee2e9c9e5d5b14ac07dc348d23a6ae7639e4172f67c076d"}
2026-04-06T08:30:34Z	INFO	engine.verify	internal/imageverifier.go:335	verifying image signatures	{"policy.name": "verify-local-matrix-images", "policy.namespace": "", "policy.apply": "All", "new.kind": "Deployment", "new.namespace": "stock-trading", "new.name": "user-service", "rule.name": "autogen-verify-local-matrix-signature-and-attestation", "image": "ttl.sh/stock-trading-matrix-signed-6da392d7586f@sha256:8404ccf820241d03fee2e9c9e5d5b14ac07dc348d23a6ae7639e4172f67c076d", "attestors": 1, "attestations": 1}
2026-04-06T08:30:37Z	INFO	engine.verify	internal/imageverifier.go:517	image attestors verification succeeded	{"policy.name": "verify-local-matrix-images", "policy.namespace": "", "policy.apply": "All", "new.kind": "Deployment", "new.namespace": "stock-trading", "new.name": "user-service", "rule.name": "autogen-verify-local-matrix-signature-and-attestation", "verifiedCount": 1, "requiredCount": 1}
2026-04-06T08:30:37Z	INFO	engine.verify	internal/imageverifier.go:410	attestation {PredicateType: Type:https://slsa.dev/provenance/v0.2 Attestors:[{Count:<nil> Entries:[{Keys:0xc002223680 Certificates:<nil> Keyless:<nil> Attestor:nil Annotations:map[] Repository:}]}] Conditions:[]}	{"policy.name": "verify-local-matrix-images", "policy.namespace": "", "policy.apply": "All", "new.kind": "Deployment", "new.namespace": "stock-trading", "new.name": "user-service", "rule.name": "autogen-verify-local-matrix-signature-and-attestation"}
2026-04-06T08:30:38Z	INFO	engine.verify	internal/imageverifier.go:701	checking attestation	{"policy.name": "verify-local-matrix-images", "policy.namespace": "", "policy.apply": "All", "new.kind": "Deployment", "new.namespace": "stock-trading", "new.name": "user-service", "rule.name": "autogen-verify-local-matrix-signature-and-attestation", "predicates": ["https://slsa.dev/provenance/v0.2"], "image": "ttl.sh/stock-trading-matrix-signed-6da392d7586f@sha256:8404ccf820241d03fee2e9c9e5d5b14ac07dc348d23a6ae7639e4172f67c076d"}
2026-04-06T08:30:38Z	INFO	engine.verify	internal/imageverifier.go:450	image attestations verification succeeded	{"policy.name": "verify-local-matrix-images", "policy.namespace": "", "policy.apply": "All", "new.kind": "Deployment", "new.namespace": "stock-trading", "new.name": "user-service", "rule.name": "autogen-verify-local-matrix-signature-and-attestation", "verifiedCount": 1, "requiredCount": 1}
2026-04-06T08:30:38Z	INFO	engine.verify	internal/imageverifier.go:475	verified image attestations for ttl.sh/stock-trading-matrix-signed-6da392d7586f@sha256:8404ccf820241d03fee2e9c9e5d5b14ac07dc348d23a6ae7639e4172f67c076d	{"policy.name": "verify-local-matrix-images", "policy.namespace": "", "policy.apply": "All", "new.kind": "Deployment", "new.namespace": "stock-trading", "new.name": "user-service", "rule.name": "autogen-verify-local-matrix-signature-and-attestation"}
